Person,Sex,Age,Race,Educ,Income,Testimony,InstructionType,Verdict
112,Female,1989,White,Some college credit,"Less than $10,000",strong,RI,not guilty
113,Male,1986,White,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",strong,NJ,not guilty
114,Male,1992,White,Some college credit,"$10,000 to 19,999",weak,NJ,not guilty
115,Female,1979,Black or African American,Some college credit,"$40,000 to $49,999",strong,RI,not guilty
116,Male,1975,White,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",weak,NJ,guilty
117,Female,1985,White,Some college credit,"$50,000 to $59,999",strong,NJ,guilty
118,Female,1988,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,RI,not guilty
119,Female,1964,White,"Associate degree (e.g., AA, AS)","$50,000 to $59,999",strong,NJ,not guilty
120,Female,1990,White,"Bachelor's degree (e.g., BA, AB, BS)","Less than $10,000",strong,NJ,not guilty
121,Female,1982,White,High school graduate (diploma or GED),"Less than $10,000",weak,NJ,not guilty
122,Female,1988,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$80,000 to $89,999",weak,RI,guilty
123,Male,1988,Black or African American,Some college credit,"$30,000 to $39,999",weak,NJ,not guilty
124,Male,1978,Some Other Race,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",strong,NJ,not guilty
125,Female,1946,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",strong,RI,not guilty
126,Male,1987,Some Other Race,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",strong,RI,guilty
127,Male,1985,White,Some college credit,"$10,000 to 19,999",weak,RI,guilty
128,Male,1986,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$50,000 to $59,999",weak,RI,not guilty
129,Female,1987,White,Some college credit,"$60,000 to $69,999",strong,RI,not guilty
130,Male,1978,White,"Bachelor's degree (e.g., BA, AB, BS)","$50,000 to $59,999",weak,NJ,not guilty
131,Male,1984,Asian,Some college credit,"$40,000 to $49,999",weak,NJ,not guilty
132,Female,1958,American Indian or Alaskan Native,Some college credit,"Less than $10,000",strong,RI,not guilty
133,Male,1949,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",strong,NJ,guilty
134,Female,1986,Asian,"Bachelor's degree (e.g., BA, AB, BS)","$50,000 to $59,999",weak,NJ,not guilty
135,Female,1989,White,"Bachelor's degree (e.g., BA, AB, BS)","$30,000 to $39,999",weak,RI,guilty
136,Male,1986,White,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",strong,NJ,not guilty
137,Male,1959,White,High school graduate (diploma or GED),"Less than $10,000",strong,RI,not guilty
138,Female,1969,White,Some college credit,"$90,000 to $99,999",weak,RI,not guilty
139,Male,1976,White,High school graduate (diploma or GED),"$40,000 to $49,999",weak,NJ,not guilty
140,Male,1994,White,High school graduate (diploma or GED),"$20,000 to $29,999",strong,RI,not guilty
141,Female,1979,White,Some college credit,"$50,000 to $59,999",strong,NJ,not guilty
142,Female,1985,White,Some college credit,"$30,000 to $39,999",strong,RI,not guilty
143,Male,1958,White,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",weak,NJ,not guilty
144,Male,1985,Asian,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",weak,RI,not guilty
145,Male,1983,Asian,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",weak,NJ,guilty
146,Male,1952,White,Some college credit,"$20,000 to $29,999",strong,RI,not guilty
147,Male,1993,White,Some college credit,"$200,000 or more",strong,NJ,not guilty
148,Female,1984,White,"Bachelor's degree (e.g., BA, AB, BS)","$150,000 to $199,999",weak,NJ,not guilty
149,Female,1989,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",strong,RI,not guilty
150,Male,1983,White,Some college credit,"$60,000 to $69,999",weak,RI,not guilty
151,Female,1968,White,"Master's degree (e.g., MA, MS, MEd)","Less than $10,000",strong,NJ,not guilty
152,Male,1983,Asian,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",weak,NJ,not guilty
153,Male,1957,White,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",weak,NJ,not guilty
154,Male,1970,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",strong,NJ,guilty
155,Male,1994,White,High school graduate (diploma or GED),"$20,000 to $29,999",weak,NJ,not guilty
156,Female,1984,Some Other Race,Some college credit,"$20,000 to $29,999",weak,RI,not guilty
157,Female,1961,White,Some college credit,"$40,000 to $49,999",strong,RI,not guilty
158,Female,1985,White,High school graduate (diploma or GED),"$50,000 to $59,999",weak,RI,guilty
159,Male,1986,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",weak,RI,not guilty
160,Female,1992,White,Some college credit,"$70,000 to $79,999",weak,NJ,not guilty
161,Female,1982,White,"Associate degree (e.g., AA, AS)","$30,000 to $39,999",strong,RI,not guilty
162,Female,1990,White,Some college credit,"$30,000 to $39,999",strong,RI,not guilty
163,Female,1965,White,Some college credit,"$60,000 to $69,999",strong,NJ,not guilty
164,Male,1986,Asian,Some college credit,"$20,000 to $29,999",strong,RI,not guilty
165,Male,1967,White,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",strong,NJ,not guilty
166,Female,1989,White,Some college credit,"Less than $10,000",weak,NJ,not guilty
167,Female,1981,Asian,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",weak,RI,guilty
168,Female,1992,White,Some college credit,"Less than $10,000",strong,NJ,not guilty
169,Female,1991,Some Other Race,High school graduate (diploma or GED),"Less than $10,000",strong,RI,guilty
170,Male,1970,White,Some college credit,"Less than $10,000",strong,RI,not guilty
171,Female,1989,White,Some high school,"$10,000 to 19,999",weak,NJ,not guilty
172,Female,1986,White,"Associate degree (e.g., AA, AS)","$70,000 to $79,999",weak,NJ,not guilty
173,Female,1954,White,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",weak,RI,not guilty
174,Female,1962,White,Some college credit,"$50,000 to $59,999",strong,NJ,guilty
175,Male,1989,White,"Bachelor's degree (e.g., BA, AB, BS)","$150,000 to $199,999",strong,NJ,not guilty
176,Male,1947,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",weak,RI,not guilty
177,Male,1980,White,"Bachelor's degree (e.g., BA, AB, BS)","$30,000 to $39,999",weak,NJ,not guilty
178,Female,1980,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",strong,RI,guilty
179,Male,1957,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",strong,RI,not guilty
180,Female,1983,White,"Master's degree (e.g., MA, MS, MEd)","$80,000 to $89,999",weak,NJ,not guilty
181,Male,1956,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",weak,RI,not guilty
182,Female,1979,Black or African American,High school graduate (diploma or GED),"$20,000 to $29,999",strong,NJ,not guilty
183,Female,1981,Asian,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",strong,RI,guilty
184,Female,1986,White,Some college credit,"$50,000 to $59,999",strong,NJ,not guilty
185,Female,1982,White,"Bachelor's degree (e.g., BA, AB, BS)","$200,000 or more",strong,NJ,not guilty
186,Male,1983,American Indian or Alaskan Native,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",strong,RI,not guilty
187,Male,1986,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",weak,NJ,not guilty
188,Female,1986,White,"Associate degree (e.g., AA, AS)","$30,000 to $39,999",weak,RI,not guilty
189,Female,1980,White,"Associate degree (e.g., AA, AS)","$30,000 to $39,999",weak,NJ,guilty
190,Male,1987,White,Some college credit,"$30,000 to $39,999",weak,NJ,not guilty
191,Female,1982,Black or African American,"Associate degree (e.g., AA, AS)","$20,000 to $29,999",strong,RI,not guilty
192,Female,1956,White,"Associate degree (e.g., AA, AS)","$20,000 to $29,999",strong,NJ,not guilty
193,Male,1985,Some Other Race,Some college credit,"$70,000 to $79,999",weak,RI,not guilty
194,Male,1972,White,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",strong,NJ,not guilty
195,Male,1987,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,RI,not guilty
196,Female,1980,Black or African American,"Associate degree (e.g., AA, AS)","$10,000 to 19,999",weak,NJ,not guilty
197,Female,1980,White,"Master's degree (e.g., MA, MS, MEd)","$30,000 to $39,999",strong,NJ,not guilty
198,Female,1950,White,High school graduate (diploma or GED),"$30,000 to $39,999",weak,NJ,not guilty
199,Male,1988,White,"Associate degree (e.g., AA, AS)","$50,000 to $59,999",weak,RI,not guilty
200,Male,1968,Black or African American,Some college credit,"$10,000 to 19,999",strong,RI,not guilty
201,Male,1960,White,"Master's degree (e.g., MA, MS, MEd)","$50,000 to $59,999",strong,NJ,not guilty
202,Male,1993,White,Some college credit,"$20,000 to $29,999",weak,RI,not guilty
203,Female,1960,White,"Associate degree (e.g., AA, AS)","$50,000 to $59,999",weak,NJ,not guilty
204,Female,1982,White,Some college credit,"$40,000 to $49,999",weak,RI,not guilty
205,Female,1946,White,High school graduate (diploma or GED),"$40,000 to $49,999",weak,RI,not guilty
206,Female,1981,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,NJ,not guilty
207,Female,1981,White,Some college credit,"$20,000 to $29,999",weak,NJ,not guilty
208,Male,1990,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",strong,RI,not guilty
