class,time
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,35
SO,37.5
SO,37.5
SO,37.5
SO,40
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45.75
SO,56.25
SO,59.5
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60.5
SO,60.5
SO,67.5
SO,67.5
SO,78
SO,79.5
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90.75
SO,90.75
SO,91
SO,93.75
SO,95
SO,97.5
SO,98.25
SO,101.25
SO,101.25
SO,101.25
SO,105
SO,112.5
SO,112.5
SO,112.5
SO,112.5
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120.75
SO,127.5
SO,130
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,139.5
SO,150
SO,150
SO,150
SO,157.5
SO,157.5
SO,157.5
SO,157.5
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,200
SO,202.5
SO,202.5
SO,210
SO,213.75
SO,225
SO,225
SO,225
SO,225
SO,225
SO,225
SO,240
SO,240
SO,240
SO,240
SO,240
SO,240
SO,247.5
SO,270
SO,270
SO,292.5
SO,300
SO,300
SO,300
SO,315
SO,345
SO,360
SO,480
SO,480
SO,480
