carrier,delay
AA,3
AA,1
AA,110
AA,51
AA,72
AA,2
AA,39
AA,246
AA,73
AA,19
AA,64
AA,78
AA,172
AA,9
AA,230
AA,44
AA,10
AA,106
AA,3
AA,142
AA,128
AA,29
AA,9
AA,52
AA,33
AA,5
AA,32
AA,68
AA,24
AA,91
AA,60
AA,23
AA,20
AA,0
AA,8
AA,2
AA,7
AA,0
AA,93
AA,120
WN,25
WN,0
WN,11
WN,9
WN,10
WN,81
WN,233
WN,63
WN,33
WN,74
WN,22
WN,4
WN,51
WN,21
WN,2
WN,20
WN,0
WN,143
WN,42
WN,25
WN,54
WN,21
WN,0
WN,96
WN,3
WN,75
WN,0
WN,2
WN,58
WN,120
WN,8
WN,51
WN,12
WN,71
WN,2
WN,48
WN,29
WN,8
WN,19
WN,14
