gender,kids
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
