"Happiness","NumFriends"
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"very_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"pretty_happy",4
"not_too_happy",4
"not_too_happy",4
"not_too_happy",4
"not_too_happy",4
"not_too_happy",4
"not_too_happy",4
"not_too_happy",4
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"very_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"pretty_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"not_too_happy",5
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
"very_happy",6
