YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1947,37.2,29.3,37.8,50.5,59.9,68.4,75.5,76,68.6,63.6,44.2,34,53.8
1948,25.4,30.7,42.1,51,60.2,69.4,77.2,75.2,70.3,56.7,52.4,38.3,54.1
1949,38.6,38.6,42.9,53.8,63.1,74.3,79.6,76.7,66.2,63.1,46.3,39.4,56.9
1950,41.4,31.6,36.4,48.5,58.8,70.3,75,73.1,64.8,60,48.4,35,53.6
1951,36.5,36.2,41.5,53,63.3,69.8,76.8,74.5,68.2,58.6,43.5,38.6,55
1952,36.2,36.2,40.2,55,60.7,73.6,80.3,74.9,69.9,55.7,48.6,38.4,55.8
1953,37.6,38.4,43.4,52.3,63.4,73.6,77.8,75.8,70.4,60.7,49.7,41.3,57
1954,30.8,40.1,41.6,53.8,59.8,71.6,76.7,72.8,67.4,61.7,46.4,35.9,54.9
1955,31,35,41.7,53.5,65.4,68.9,80.9,78.1,67.8,59.8,44.3,29.7,54.7
1956,32,36.6,37.4,48.2,58.7,71.4,72.9,74.2,64.8,58.1,46.7,40.9,53.5
1957,28.5,37.3,41.9,53.2,63.1,74.3,77.7,73.6,69.7,56.2,49.4,40.2,55.4
1958,31.9,27.4,40.3,52.9,59.1,67.2,76.1,75.2,67.6,55.5,47.9,29.4,52.5
1959,31.1,32.1,40.1,53.8,66.4,71.2,76.3,77.5,72.3,59.8,45.8,38.4,55.4
1960,33.9,36.3,33.3,54.1,62.6,71.8,74.6,74.9,68,58.1,49.7,30.9,54
1961,27.7,36.7,41.5,49,59.9,72.3,78.1,76.4,73.6,61.1,48.8,35.5,55.1
1962,32.6,31.8,43.1,53.3,64.5,72.5,74,72.4,64.9,57.4,43.2,31.5,53.4
1963,30.1,28.3,43.7,53.7,61.1,70.9,76.4,72.1,63.1,61.8,50.4,31.2,53.6
1964,35.7,32.9,43.1,49.7,65.4,71.6,75.4,72.9,67.2,55,49.4,36.4,54.6
1965,29.7,33.9,40,50.6,66.4,70.1,74.3,73.2,67.5,57.3,46.8,40.5,54.2
1966,32.2,35.1,42.7,49.7,61.6,75.4,79.7,76.9,66.5,56.2,48.9,35.7,55.1
1967,37.4,29.2,37.6,49.6,55.2,72.8,75.3,73.9,66.7,57.2,42.5,38.2,53
1968,26.7,28.9,43.3,55,59.6,69.7,77.3,76,70.6,60.5,46.9,34.3,54.1
1969,31.8,32.6,40.1,55.9,65.3,73.1,74.8,77.4,69,57.7,46.4,33.4,54.8
1970,25.1,33,38.7,52.1,64,70.9,77.1,77.6,70.8,58.9,48.5,34.4,54.3
1971,27,35.1,40.1,50.8,61.4,74.2,77.8,75.9,71.6,62.7,45.1,40.8,55.2
1972,35.1,31.4,39.8,50.1,63.3,67.9,77.2,75.6,69.5,53.5,44.4,38.5,53.9
1973,35.5,32.5,46.4,53.4,59.5,73.4,77.4,77.6,69.5,60.2,48.3,39,56.1
1974,35.3,31.7,42.1,55.2,61,69,77.2,76.4,66.7,54.1,48.2,39.4,54.7
1975,37.3,35.8,40.2,47.9,65.8,70.5,75.8,74.4,64.2,59.2,52.3,35.9,54.9
1976,27.4,39.9,44.4,55,60.2,73.2,74.8,74.3,66.6,52.9,41.7,29.9,53.4
1977,22.1,33.5,46.8,53.7,65,70.2,79,75.7,68.2,54.9,47.3,35.7,54.3
1978,28,27.2,39,51.6,61.5,71.3,74.4,76,65,54.9,47.8,38.9,53
1979,33.6,25.5,46.9,52.6,65.3,69.2,76.9,76.8,70.5,57.3,52.5,41.1,55.7
1980,33.7,31.4,41.2,54.5,65.6,70.3,79.3,80.3,70.8,55.2,44.6,32.5,55
1981,26.3,39.3,42.3,56.2,64.8,73,78.5,76,67.6,54.4,47.7,36.5,55.2
1982,26.1,35.3,42,51.2,64.1,68.6,77.9,73.2,68.3,58.5,50.4,42.8,54.9
