hours,sex
40,female
40,male
40,male
40,male
40,female
40,female
40,male
40,female
40,female
40,female
40,female
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,male
40,male
40,female
40,male
40,male
40,female
40,female
40,male
40,female
40,female
40,female
40,female
40,female
40,female
40,male
40,male
40,female
40,female
40,female
40,female
41,male
41,female
41,male
41,female
41,male
42,female
42,male
42,male
42,male
42,female
42,female
42,male
42,male
42,male
42,female
42,male
42,female
42,female
42,male
42,female
42,female
42,female
42,male
42,female
42,male
42,female
43,male
43,male
43,male
43,male
43,male
43,female
43,female
43,male
43,female
43,male
43,male
44,female
44,female
44,male
44,female
44,male
44,female
44,female
44,male
44,female
44,male
44,male
44,female
44,male
44,male
44,male
44,female
44,male
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,male
45,female
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,male
45,female
45,male
45,female
45,male
45,female
45,female
45,female
45,female
45,male
45,male
45,female
45,female
45,male
45,male
45,female
45,female
45,male
45,female
45,female
45,female
45,male
45,male
45,female
45,male
45,female
45,female
45,male
45,male
45,male
45,male
45,male
45,female
45,female
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,male
45,male
45,female
45,male
45,female
45,female
45,male
45,female
45,male
45,male
45,female
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,female
45,female
45,female
45,female
45,male
46,female
46,female
46,male
46,female
46,female
46,female
46,female
46,female
46,female
46,male
46,male
46,male
46,male
47,female
47,female
47,female
47,female
48,male
48,male
48,male
48,female
48,male
48,male
48,male
48,female
48,female
48,female
48,male
48,male
48,male
48,male
48,male
48,female
48,female
48,male
48,male
48,female
48,female
48,female
48,male
48,male
48,male
48,male
48,male
48,male
49,female
49,male
50,male
50,male
50,female
50,male
50,female
50,male
50,male
50,female
50,male
50,male
50,female
50,female
50,male
50,female
50,male
50,female
50,female
50,male
50,female
50,male
50,male
50,male
50,male
50,male
50,female
50,male
50,male
50,female
50,female
50,female
50,male
50,male
50,male
50,female
50,female
50,female
50,female
50,male
50,male
50,male
50,male
50,male
50,male
50,male
50,female
50,male
50,male
50,male
50,male
50,female
50,male
50,male
50,female
50,female
50,female
50,female
50,male
50,female
50,male
50,male
50,female
50,female
50,female
50,male
50,female
50,female
50,female
50,female
50,male
50,female
50,male
50,female
50,female
50,male
50,female
50,female
50,male
50,male
50,male
50,male
50,male
50,male
50,female
50,female
50,male
50,female
50,female
50,female
50,male
50,male
50,female
50,male
50,male
50,male
50,female
50,male
50,female
50,female
50,female
50,female
50,male
50,male
50,female
50,male
50,female
50,male
50,male
50,female
50,male
