payment
300
1500
1700
1800
2200
2500
3000
3100
3600
4200
4400
5200
6000
7400
7500
8000
8000
8100
8100
8500
9000
9100
9200
9300
9500
9600
9600
10000
10000
10200
10300
10400
10500
10600
10800
11000
11000
11100
11300
11700
12000
12300
13000
13300
13400
13500
13600
14000
14000
14400
15000
15200
15400
15600
15700
16200
16500
17000
17200
18000
18000
18000
18500
18500
18700
18700
19700
20000
20000
20400
21100
21600
22000
22600
22800
23300
23300
24100
24500
25000
25000
27800
28000
30000
31500
