minutes
0
0
0
0
0
0
0
1
1
2
2
2
2
2
3
3
3
3
4
4
6
6
6
6
7
8
9
9
10
12
12
12
15
16
17
18
18
18
19
22
23
24
29
29
30
31
32
33
38
41
43
52
59
61
62
64
66
70
72
75
81
81
83
88
96
121
124
135
138
156
157
202
205
353
358
