CASEID,HEAVEN,HELL
51131,NoProb,NoDef
51141,NoProb,NoDef
51149,NoProb,NoDef
51153,NoProb,NoDef
51154,NoProb,NoDef
51243,NoProb,NoDef
51306,NoProb,NoDef
51395,NoProb,NoDef
51516,NoProb,NoDef
51575,NoProb,NoDef
51649,NoProb,NoDef
51695,NoProb,NoDef
51730,NoProb,NoDef
51758,NoProb,NoDef
51891,NoProb,NoDef
51970,NoProb,NoDef
52345,NoProb,NoDef
52480,NoProb,NoDef
52871,NoProb,NoDef
52990,NoProb,NoDef
52994,NoProb,NoDef
52462,NoDef,YesDef
51207,NoDef,YesProb
51023,NoDef,NoDef
51032,NoDef,NoDef
51051,NoDef,NoDef
51068,NoDef,NoDef
51155,NoDef,NoDef
51165,NoDef,NoDef
51181,NoDef,NoDef
51185,NoDef,NoDef
51195,NoDef,NoDef
51198,NoDef,NoDef
51228,NoDef,NoDef
51233,NoDef,NoDef
51234,NoDef,NoDef
51261,NoDef,NoDef
51273,NoDef,NoDef
51289,NoDef,NoDef
51296,NoDef,NoDef
51303,NoDef,NoDef
51310,NoDef,NoDef
51337,NoDef,NoDef
51346,NoDef,NoDef
51387,NoDef,NoDef
51393,NoDef,NoDef
51429,NoDef,NoDef
51457,NoDef,NoDef
51460,NoDef,NoDef
51472,NoDef,NoDef
51492,NoDef,NoDef
51497,NoDef,NoDef
51529,NoDef,NoDef
51534,NoDef,NoDef
51547,NoDef,NoDef
51610,NoDef,NoDef
51634,NoDef,NoDef
51658,NoDef,NoDef
51678,NoDef,NoDef
51700,NoDef,NoDef
51705,NoDef,NoDef
51711,NoDef,NoDef
51712,NoDef,NoDef
51725,NoDef,NoDef
51740,NoDef,NoDef
51741,NoDef,NoDef
51753,NoDef,NoDef
51775,NoDef,NoDef
51784,NoDef,NoDef
51806,NoDef,NoDef
51807,NoDef,NoDef
51822,NoDef,NoDef
51857,NoDef,NoDef
51939,NoDef,NoDef
51948,NoDef,NoDef
51953,NoDef,NoDef
51991,NoDef,NoDef
52002,NoDef,NoDef
52039,NoDef,NoDef
52045,NoDef,NoDef
52062,NoDef,NoDef
52164,NoDef,NoDef
52174,NoDef,NoDef
52265,NoDef,NoDef
52274,NoDef,NoDef
52315,NoDef,NoDef
52344,NoDef,NoDef
52377,NoDef,NoDef
52379,NoDef,NoDef
52380,NoDef,NoDef
52411,NoDef,NoDef
52466,NoDef,NoDef
52498,NoDef,NoDef
52537,NoDef,NoDef
52544,NoDef,NoDef
52672,NoDef,NoDef
52942,NoDef,NoDef
53001,NoDef,NoDef
53008,NoDef,NoDef
53011,NoDef,NoDef
53022,NoDef,NoDef
51348,,YesDef
51771,,YesDef
51868,,YesDef
51364,,YesProb
51500,,NoProb
51816,,NoProb
51107,,NoDef
51197,,NoDef
51624,,NoDef
52040,,NoDef
52196,,NoDef
52213,,NoDef
52616,,NoDef
