balance
0
0
9
55
60
81
85
91
104
104
116
121
133
151
161
162
164
169
180
192
198
204
206
210
211
226
237
241
247
250
253
265
269
272
286
291
293
294
295
296
299
300
300
308
309
324
325
338
363
375
377
377
380
384
384
387
394
396
400
403
410
417
420
427
431
437
448
449
450
451
456
464
464
465
473
476
485
486
486
493
498
506
534
537
538
541
541
543
544
546
558
564
566
569
574
588
591
599
606
610
614
615
620
622
646
650
656
660
665
669
674
675
677
681
706
708
730
732
744
766
768
773
782
787
795
815
817
817
820
826
834
840
841
844
856
866
873
883
890
891
891
893
903
910
930
933
938
938
949
962
963
968
975
976
984
1025
1036
1048
1055
1060
1078
1079
1086
1108
1109
1123
1127
1153
1153
1169
1178
1178
1204
1253
1256
1285
1290
1327
1328
1331
1348
1354
1362
1380
1381
1413
1413
1413
1415
1459
1473
1494
1525
1543
1548
1555
1575
1615
1623
1702
1708
1765
1768
1790
1802
1820
1834
1842
1851
1861
1864
1871
1873
1887
1900
1910
1915
1933
1946
1946
1951
1954
1995
2006
2021
2070
2096
2123
2150
2178
2209
2260
2394
2398
2411
2431
2490
2505
2538
2554
2559
2566
2580
2592
2635
2665
2680
2702
2718
2787
2822
2834
2854
2857
2915
3012
3094
3097
3099
3220
3220
3304
3580
3606
3750
3948
3950
4090
4139
4181
4247
4324
4591
4657
4665
4844
4930
4944
5009
5275
5529
5891
5906
6019
6165
6624
6695
7017
7051
7204
8209
8259
8401
9775
12233
12252
12905
16112
16900
16920
