minutes
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
2
2
2
2
2
2
2
2
2
2
3
3
3
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
4
5
5
5
5
5
5
5
5
6
6
6
6
6
6
7
7
7
7
7
7
7
7
8
8
8
8
8
8
8
8
8
9
9
9
9
9
9
9
9
9
9
10
10
10
10
10
11
11
11
11
12
12
12
12
12
12
12
13
13
13
13
13
13
14
14
14
14
15
15
15
15
15
15
16
16
16
16
16
16
17
18
18
18
18
18
19
19
19
20
21
21
21
23
23
23
25
25
25
25
25
25
25
26
27
27
27
27
29
29
29
30
30
30
30
30
31
31
31
31
32
32
34
35
36
36
36
37
39
39
40
40
42
43
43
44
44
45
45
45
45
46
46
48
48
48
49
49
51
52
52
53
53
54
55
56
58
59
60
65
65
67
67
68
68
69
70
73
73
73
75
75
76
77
79
79
81
83
83
84
87
88
89
95
99
99
102
105
111
119
154
156
164
168
169
174
177
191
191
193
196
199
200
201
215
289
290
293
299
300
348
348
