tvhours
3
1
1
10
4
2
3
3
8
8
5
3
1
0
1
5
1
2
2
3
5
3
3
2
2
1
4
2
5
8
5
2
3
0
2
2
20
1
1
0
12
17
10
4
5
3
1
1
0
4
5
2
5
1
2
3
5
2
2
1
0
3
3
2
1
4
1
3
5
0
3
3
8
1
12
5
6
1
8
0
2
2
4
4
3
4
2
2
1
0
1
0
2
0
2
1
3
2
4
4
1
0
1
3
0
2
5
2
2
1
1
0
4
2
3
0
8
3
2
2
1
1
0
3
1
1
2
3
8
2
1
2
0
10
2
3
3
1
1
1
6
4
0
6
8
1
15
0
2
0
3
2
3
2
2
6
3
1
6
2
2
4
2
3
2
3
1
3
1
18
8
10
1
0
2
2
1
1
3
2
1
0
1
1
2
1
2
2
3
3
3
2
1
6
1
2
3
1
7
4
2
1
2
1
2
4
0
1
0
4
0
8
8
2
8
2
16
1
2
2
5
1
3
1
2
4
0
3
2
6
8
2
2
5
1
1
3
2
3
1
1
0
0
10
1
1
5
3
1
2
2
2
3
2
1
4
1
0
3
1
5
0
6
1
2
3
0
9
1
1
3
2
0
15
2
3
2
2
3
9
2
1
2
4
7
4
2
1
3
1
4
1
7
3
3
0
1
3
4
0
12
2
4
1
1
4
20
4
5
1
6
3
4
0
2
4
2
5
2
2
5
1
6
10
1
1
4
0
3
2
3
4
2
3
1
1
0
3
3
2
6
2
1
4
4
1
2
5
4
5
4
1
1
2
0
0
1
5
1
2
6
2
2
2
3
1
4
6
2
5
6
1
1
2
0
2
1
0
1
5
4
6
4
1
6
1
3
5
2
3
3
4
4
2
1
2
1
4
6
4
2
4
10
1
0
1
1
2
4
4
3
6
5
8
0
1
1
1
5
0
15
1
2
1
5
5
0
2
1
1
0
2
1
3
3
6
1
1
4
5
2
3
1
1
1
3
2
2
0
2
2
3
3
1
0
5
8
2
1
4
6
2
2
1
2
1
2
6
4
2
2
4
2
3
4
0
1
2
1
1
3
8
0
1
4
2
1
3
4
2
1
4
3
4
8
4
0
10
2
0
4
4
1
1
2
4
1
2
0
6
8
6
3
4
2
3
4
1
5
4
3
1
1
1
1
3
4
1
3
1
2
12
2
10
1
9
2
2
0
2
10
1
2
1
5
4
3
1
2
4
1
4
0
2
2
1
1
12
3
4
2
0
0
3
1
1
2
4
3
3
5
2
4
0
2
1
0
1
3
1
0
2
2
2
1
4
4
5
2
1
6
0
2
3
2
4
6
3
8
2
1
2
1
1
3
4
0
0
2
8
2
2
1
2
5
0
2
1
0
4
3
4
2
4
2
2
0
1
2
0
5
8
3
1
4
0
4
3
4
3
5
7
0
5
1
1
4
1
2
1
2
2
1
8
0
3
2
2
1
16
1
0
1
3
0
3
2
3
2
2
9
1
3
5
20
0
3
1
0
1
4
4
8
2
4
1
3
1
2
2
3
24
9
1
3
1
3
2
1
4
5
1
0
4
3
0
5
4
12
4
1
1
1
10
2
3
3
5
3
3
1
1
5
3
2
0
2
0
1
2
3
2
3
1
1
2
3
20
4
2
1
2
1
2
2
2
2
3
2
6
2
3
3
4
0
2
7
2
4
6
3
5
4
3
1
6
6
2
5
2
4
4
2
6
2
2
2
10
1
2
2
3
12
2
2
1
3
1
2
5
1
5
2
0
0
1
3
1
3
4
1
3
6
2
1
2
5
1
1
2
1
2
3
0
1
1
1
2
1
1
0
3
3
5
15
1
4
1
1
1
6
5
2
1
4
2
2
2
2
4
0
6
5
1
3
1
4
0
2
2
4
2
2
2
2
3
5
8
4
1
1
2
3
5
2
2
4
2
4
8
5
2
0
1
8
2
4
4
3
5
2
2
2
0
2
3
1
2
4
1
0
0
2
5
3
3
1
1
2
3
1
3
2
1
4
4
3
3
2
1
4
2
2
1
1
1
1
1
2
3
2
2
4
5
2
4
6
1
1
0
2
8
3
4
2
2
5
1
2
0
3
2
3
3
2
2
3
3
0
0
0
1
1
6
5
3
1
5
3
7
0
1
1
1
2
1
3
1
2
3
4
2
1
5
3
2
2
1
2
2
4
8
2
24
2
6
2
10
1
1
0
1
1
1
1
10
2
6
2
12
5
2
2
2
4
3
2
1
4
3
1
8
5
4
3
2
2
4
3
10
2
1
2
3
0
3
2
2
2
1
0
2
8
12
5
7
5
4
4
3
2
4
0
0
3
4
6
2
3
2
1
6
4
0
6
4
4
0
3
4
2
2
2
0
1
3
1
0
2
3
0
2
1
12
5
3
4
1
1
0
6
5
4
6
12
1
4
8
2
0
4
1
1
6
2
12
3
2
1
4
2
4
3
5
5
2
3
2
1
0
2
6
2
3
10
1
4
0
1
1
3
5
0
2
10
2
2
1
2
1
1
1
5
2
3
5
3
0
1
2
6
14
3
2
3
2
3
6
2
2
6
3
5
6
5
1
2
2
1
1
3
3
2
3
3
1
2
4
3
1
4
2
6
5
5
1
3
0
1
2
0
4
1
1
1
0
3
3
4
3
2
0
2
6
2
2
1
2
2
0
10
2
3
5
12
4
1
4
1
2
3
4
3
5
1
2
1
4
5
2
2
8
3
1
2
2
5
2
0
1
4
4
0
6
0
4
1
2
1
24
3
2
2
0
1
4
2
3
8
10
1
4
3
8
2
4
1
1
3
1
2
3
2
3
2
3
3
0
0
1
5
6
1
1
4
2
0
1
1
0
3
2
0
1
1
0
2
6
1
1
6
2
3
1
4
1
2
1
0
1
1
2
6
1
6
3
5
1
1
10
1
1
4
2
5
6
0
3
4
3
4
5
3
3
0
2
3
1
3
1
2
2
2
2
3
2
1
1
1
3
1
2
3
2
0
2
4
1
0
2
3
0
2
2
0
3
9
4
6
3
0
3
2
2
3
7
3
1
1
5
4
2
3
1
10
10
2
3
3
4
4
2
1
3
1
3
1
8
5
2
1
0
1
2
4
3
2
4
3
0
7
2
4
3
3
6
2
1
5
1
1
4
1
1
3
5
4
1
6
2
6
8
1
4
3
4
3
7
2
2
2
1
1
2
3
2
2
1
3
5
2
1
0
5
4
1
5
1
1
2
4
1
3
2
1
2
2
12
1
2
16
14
2
5
2
1
0
4
3
5
3
2
3
3
2
24
0
3
1
1
3
2
2
1
4
2
2
3
1
0
0
4
3
3
1
10
8
4
2
3
1
7
5
2
3
5
2
5
0
2
2
3
5
1
2
1
7
3
1
2
3
3
8
0
6
4
7
1
3
2
3
0
2
1
2
4
4
0
0
5
1
2
2
1
3
2
2
2
1
2
5
2
6
1
1
